Player,Tm,Opp,Res,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,Data
Jett Howard,ORL,MIA,W,5.35,0,3,0.0,0,2,0.0,0,0,0.0,0,1,1,0.0,0,0,0,0,0,-1.8,2024-10-23
Goga Bitadze,ORL,MIA,W,5.35,0,1,0.0,0,1,0.0,0,0,0.0,0,2,2,0.0,0,0,2,1,0,-2.5,2024-10-23
Cole Anthony,ORL,MIA,W,17.5,0,7,0.0,0,5,0.0,0,0,0.0,0,3,3,6.0,0,0,2,2,0,-2.6,2024-10-23
Chet Holmgren,OKC,DEN,W,35.78,11,18,0.611,0,5,0.0,3,5,0.6,4,10,14,5.0,2,4,2,2,25,27.3,2024-10-24
Shai Gilgeous-Alexander,OKC,DEN,W,36.2,11,24,0.458,2,6,0.333,4,5,0.8,2,5,7,8.0,2,3,2,2,28,25.0,2024-10-24
Aaron Wiggins,OKC,DEN,W,19.52,7,9,0.778,1,2,0.5,0,0,0.0,0,6,6,1.0,0,2,1,1,15,14.0,2024-10-24
Ousmane Dieng,OKC,DEN,W,13.25,2,4,0.5,2,3,0.667,0,0,0.0,0,3,3,0.0,0,1,0,1,6,5.2,2024-10-24
Luguentz Dort,OKC,DEN,W,28.58,2,7,0.286,0,2,0.0,1,1,1.0,1,1,2,0.0,3,1,0,3,5,4.4,2024-10-24
Cason Wallace,OKC,DEN,W,23.03,2,7,0.286,0,1,0.0,0,0,0.0,2,2,4,0.0,2,0,0,1,4,3.5,2024-10-24
Isaiah Joe,OKC,DEN,W,20.4,3,10,0.3,1,6,0.167,0,0,0.0,1,1,2,1.0,0,0,0,0,7,2.9,2024-10-24
Alex Caruso,OKC,DEN,W,19.08,0,2,0.0,0,1,0.0,0,0,0.0,2,4,6,4.0,0,0,1,2,0,2.2,2024-10-24
Jalen Williams,OKC,DEN,W,33.72,5,16,0.313,2,8,0.25,0,1,0.0,1,2,3,3.0,0,2,5,3,12,1.0,2024-10-24
Alex Ducas,OKC,DEN,W,1.18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,2024-10-24
Adam Flagler,OKC,DEN,W,1.18,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,2024-10-24
Dillon Jones,OKC,DEN,W,1.18,0,1,0.0,0,1,0.0,0,0,0.0,0,1,1,0.0,0,0,0,0,0,-0.4,2024-10-24
Ajay Mitchell,OKC,DEN,W,6.85,0,3,0.0,0,1,0.0,0,0,0.0,0,1,1,1.0,0,0,1,0,0,-2.1,2024-10-24
Franz Wagner,ORL,BRK,W,38.9,10,19,0.526,3,6,0.5,6,6,1.0,2,4,6,5.0,1,0,3,2,29,23.0,2024-10-25
Paolo Banchero,ORL,BRK,W,37.22,4,13,0.308,1,2,0.5,6,11,0.545,1,5,6,9.0,0,1,0,2,15,13.9,2024-10-25
Wendell Carter,ORL,BRK,W,31.45,3,5,0.6,1,3,0.333,1,2,0.5,1,10,11,4.0,2,0,0,1,8,13.4,2024-10-25
Moritz Wagner,ORL,BRK,W,15.1,7,8,0.875,1,2,0.5,3,4,0.75,0,3,3,0.0,1,1,3,5,18,12.4,2024-10-25
Kentavious Caldwell-Pope,ORL,BRK,W,25.77,3,7,0.429,2,5,0.4,2,2,1.0,0,1,1,2.0,2,2,0,1,10,11.0,2024-10-25
Anthony Black,ORL,BRK,W,26.03,4,6,0.667,1,1,1.0,1,2,0.5,0,3,3,5.0,0,2,2,4,10,9.2,2024-10-25
Jalen Suggs,ORL,BRK,W,21.63,3,6,0.5,2,3,0.667,2,2,1.0,0,5,5,1.0,1,0,3,2,10,6.4,2024-10-25
Cole Anthony,ORL,BRK,W,19.58,1,3,0.333,1,2,0.5,1,2,0.5,0,1,1,2.0,3,0,1,2,4,4.8,2024-10-25
Gary Harris,ORL,BRK,W,16.37,2,5,0.4,2,5,0.4,0,0,0.0,0,1,1,0.0,0,1,0,0,6,4.3,2024-10-25
Jett Howard,ORL,BRK,W,1.55,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0.0,0,0,0,0,3,2.7,2024-10-25
Goga Bitadze,ORL,BRK,W,6.4,1,2,0.5,0,0,0.0,1,2,0.5,1,1,2,0.0,0,0,0,0,3,2.6,2024-10-25
Jalen Williams,OKC,CHI,W,32.07,10,22,0.455,1,4,0.25,3,3,1.0,2,7,9,8.0,0,0,2,1,24,19.3,2024-10-26
Shai Gilgeous-Alexander,OKC,CHI,W,29.5,9,21,0.429,2,9,0.222,3,3,1.0,2,6,8,2.0,4,0,1,1,23,19.1,2024-10-26
Jalen Suggs,ORL,MEM,L,30.65,6,17,0.353,5,13,0.385,4,4,1.0,0,7,7,3.0,4,1,2,1,21,18.0,2024-10-26
Chet Holmgren,OKC,CHI,W,28.77,8,18,0.444,0,5,0.0,5,8,0.625,3,13,16,0.0,1,2,2,2,21,16.0,2024-10-26
Franz Wagner,ORL,MEM,L,34.33,7,16,0.438,4,10,0.4,5,6,0.833,1,6,7,3.0,2,0,6,2,23,14.0,2024-10-26
Cason Wallace,OKC,CHI,W,29.3,4,11,0.364,0,4,0.0,1,1,1.0,1,5,6,2.0,3,0,0,1,9,9.1,2024-10-26
Paolo Banchero,ORL,MEM,L,36.92,4,12,0.333,1,4,0.25,7,13,0.538,3,4,7,3.0,1,0,3,3,16,9.0,2024-10-26
Jett Howard,ORL,MEM,L,11.55,4,6,0.667,3,5,0.6,0,0,0.0,0,2,2,0.0,0,0,0,1,11,8.6,2024-10-26
Anthony Black,ORL,MEM,L,20.38,4,8,0.5,0,1,0.0,2,2,1.0,0,1,1,3.0,0,1,2,2,10,6.3,2024-10-26
Moritz Wagner,ORL,MEM,L,12.38,4,8,0.5,1,3,0.333,0,0,0.0,2,1,3,0.0,0,1,0,4,9,5.8,2024-10-26
Ousmane Dieng,OKC,CHI,W,20.43,2,7,0.286,0,4,0.0,2,3,0.667,0,6,6,1.0,0,1,0,0,6,4.7,2024-10-26
Luguentz Dort,OKC,CHI,W,24.73,2,5,0.4,1,3,0.333,2,2,1.0,0,2,2,1.0,0,0,1,0,7,4.6,2024-10-26
Caleb Houstan,ORL,MEM,L,4.88,2,3,0.667,2,3,0.667,0,0,0.0,0,0,0,0.0,0,0,0,1,6,4.3,2024-10-26
Isaiah Joe,OKC,CHI,W,11.8,2,4,0.5,2,4,0.5,0,0,0.0,0,1,1,1.0,0,0,0,2,6,4.2,2024-10-26
Alex Caruso,OKC,CHI,W,21.67,1,5,0.2,1,3,0.333,0,0,0.0,0,2,2,2.0,2,2,0,3,3,4.1,2024-10-26
Ajay Mitchell,OKC,CHI,W,15.72,2,5,0.4,0,0,0.0,0,0,0.0,0,1,1,3.0,2,0,1,2,4,3.9,2024-10-26
Goga Bitadze,ORL,MEM,L,5.08,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,1.0,0,1,0,0,2,3.8,2024-10-26
Aaron Wiggins,OKC,CHI,W,15.72,4,7,0.571,0,2,0.0,0,0,0.0,1,2,3,1.0,1,0,2,5,8,3.7,2024-10-26
Cory Joseph,ORL,MEM,L,4.88,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,1.0,0,0,0,0,3,3.4,2024-10-26
Adam Flagler,OKC,CHI,W,3.2,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0.0,1,0,0,1,3,3.3,2024-10-26
Cole Anthony,ORL,MEM,L,7.6,2,3,0.667,0,1,0.0,0,0,0.0,0,0,0,2.0,1,0,2,1,4,2.7,2024-10-26
Wendell Carter,ORL,MEM,L,30.73,1,6,0.167,0,3,0.0,1,2,0.5,5,5,10,2.0,0,1,2,3,3,2.7,2024-10-26
Mac McClung,ORL,MEM,L,4.88,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,2.0,0,0,0,0,0,1.7,2024-10-26
Kentavious Caldwell-Pope,ORL,MEM,L,28.25,1,6,0.167,0,4,0.0,1,1,1.0,0,2,2,1.0,2,1,1,2,3,1.4,2024-10-26
Gary Harris,ORL,MEM,L,4.42,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,2024-10-26
Dillon Jones,OKC,CHI,W,3.9,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,1,0,1,0,0,0.0,2024-10-26
Alex Ducas,OKC,CHI,W,3.2,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,-0.7,2024-10-26
Trevelin Queen,ORL,MEM,L,3.05,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,1,0,0,-1.0,2024-10-26
Shai Gilgeous-Alexander,OKC,ATL,W,36.02,11,24,0.458,3,8,0.375,10,11,0.909,2,9,11,9.0,3,3,1,3,35,35.5,2024-10-27
Chet Holmgren,OKC,ATL,W,33.28,8,12,0.667,3,5,0.6,6,8,0.75,2,7,9,4.0,1,6,3,2,25,26.7,2024-10-27
Jalen Williams,OKC,ATL,W,32.88,8,17,0.471,0,3,0.0,4,8,0.5,2,7,9,5.0,2,0,0,4,20,17.1,2024-10-27
Luguentz Dort,OKC,ATL,W,28.83,5,7,0.714,4,6,0.667,2,2,1.0,1,1,2,1.0,0,0,0,5,16,12.8,2024-10-27
Aaron Wiggins,OKC,ATL,W,18.1,3,4,0.75,1,2,0.5,2,2,1.0,1,0,1,1.0,1,0,1,1,9,8.4,2024-10-27
Cason Wallace,OKC,ATL,W,23.3,2,6,0.333,1,4,0.25,0,0,0.0,0,4,4,1.0,3,0,2,2,5,3.7,2024-10-27
Alex Caruso,OKC,ATL,W,21.35,1,3,0.333,0,2,0.0,0,1,0.0,1,1,2,1.0,3,2,2,1,2,3.6,2024-10-27
Ousmane Dieng,OKC,ATL,W,8.4,2,4,0.5,1,3,0.333,0,0,0.0,0,1,1,0.0,0,0,0,0,5,3.3,2024-10-27
Adam Flagler,OKC,ATL,W,1.88,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,0.0,0,0,0,0,3,3.0,2024-10-27
Ajay Mitchell,OKC,ATL,W,14.45,0,1,0.0,0,0,0.0,0,0,0.0,0,3,3,3.0,0,1,0,1,0,2.6,2024-10-27
Alex Reese,OKC,ATL,W,1.88,1,1,1.0,0,0,0.0,0,0,0.0,1,0,1,0.0,0,0,0,0,2,2.4,2024-10-27
Isaiah Joe,OKC,ATL,W,15.85,2,7,0.286,2,5,0.4,0,0,0.0,1,0,1,1.0,0,0,1,3,6,1.1,2024-10-27
Dillon Jones,OKC,ATL,W,1.88,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,1,0,-0.4,2024-10-27
Alex Ducas,OKC,ATL,W,1.88,0,2,0.0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,-1.4,2024-10-27
Paolo Banchero,ORL,IND,W,39.62,16,26,0.615,3,9,0.333,15,22,0.682,4,9,13,9.0,1,2,4,4,50,44.0,2024-10-28
Jalen Suggs,ORL,IND,W,34.75,8,17,0.471,6,13,0.462,3,4,0.75,1,4,5,7.0,1,1,2,1,25,22.0,2024-10-28
Wendell Carter,ORL,IND,W,31.97,3,5,0.6,0,2,0.0,5,6,0.833,1,9,10,1.0,1,0,0,3,11,12.2,2024-10-28
Moritz Wagner,ORL,IND,W,16.03,5,10,0.5,1,2,0.5,3,4,0.75,2,2,4,1.0,0,0,2,3,14,8.1,2024-10-28
Franz Wagner,ORL,IND,W,10.88,3,5,0.6,1,3,0.333,0,0,0.0,0,1,1,1.0,1,0,0,1,7,6.3,2024-10-28
Anthony Black,ORL,IND,W,30.7,2,6,0.333,2,3,0.667,2,2,1.0,0,3,3,3.0,2,1,3,4,8,5.7,2024-10-28
Kentavious Caldwell-Pope,ORL,IND,W,30.7,2,5,0.4,0,3,0.0,0,0,0.0,0,0,0,1.0,1,0,1,4,4,0.4,2024-10-28
Jett Howard,ORL,IND,W,8.12,0,1,0.0,0,1,0.0,0,0,0.0,1,1,2,1.0,0,0,0,2,0,0.2,2024-10-28
Gary Harris,ORL,IND,W,26.03,0,5,0.0,0,3,0.0,0,0,0.0,0,3,3,1.0,0,1,0,1,0,-1.6,2024-10-28
Cole Anthony,ORL,IND,W,11.2,0,3,0.0,0,2,0.0,0,0,0.0,2,3,5,1.0,0,1,3,2,0,-2.2,2024-10-28
Luguentz Dort,OKC,SAS,W,25.08,7,9,0.778,6,8,0.75,0,0,0.0,3,3,6,1.0,0,2,0,1,20,21.2,2024-10-30
Paolo Banchero,ORL,CHI,L,37.25,12,22,0.545,2,9,0.222,5,7,0.714,0,7,7,4.0,0,0,4,2,31,19.7,2024-10-30
Chet Holmgren,OKC,SAS,W,27.82,7,10,0.7,3,3,1.0,2,2,1.0,0,5,5,2.0,2,2,5,3,19,14.9,2024-10-30
Jalen Williams,OKC,SAS,W,26.7,5,13,0.385,1,3,0.333,1,2,0.5,0,7,7,8.0,4,1,1,3,12,14.7,2024-10-30
Jalen Suggs,ORL,CHI,L,35.2,7,16,0.438,3,9,0.333,0,0,0.0,0,6,6,5.0,4,2,4,3,17,14.1,2024-10-30
Wendell Carter,ORL,CHI,L,28.42,5,10,0.5,0,4,0.0,4,4,1.0,0,7,7,2.0,1,1,0,4,14,12.6,2024-10-30
Ajay Mitchell,OKC,SAS,W,21.87,5,6,0.833,1,1,1.0,1,2,0.5,0,4,4,0.0,2,0,0,0,12,12.6,2024-10-30
Shai Gilgeous-Alexander,OKC,SAS,W,27.58,7,20,0.35,2,10,0.2,2,2,1.0,0,4,4,5.0,1,0,1,1,18,11.1,2024-10-30
Jonathan Isaac,ORL,CHI,L,13.9,2,5,0.4,2,4,0.5,2,2,1.0,2,3,5,1.0,1,0,1,0,8,8.3,2024-10-30
Franz Wagner,ORL,CHI,L,22.58,3,8,0.375,0,3,0.0,1,1,1.0,1,2,3,4.0,1,1,0,2,7,7.6,2024-10-30
Ousmane Dieng,OKC,SAS,W,18.58,2,5,0.4,1,4,0.25,0,0,0.0,1,4,5,3.0,2,0,0,2,5,7.5,2024-10-30
Anthony Black,ORL,CHI,L,23.2,1,5,0.2,0,2,0.0,2,2,1.0,1,2,3,6.0,1,3,1,3,4,7.3,2024-10-30
Isaiah Joe,OKC,SAS,W,18.7,2,3,0.667,2,3,0.667,0,0,0.0,0,1,1,2.0,1,0,0,1,6,7.0,2024-10-30
Cason Wallace,OKC,SAS,W,29.13,4,9,0.444,1,3,0.333,0,0,0.0,1,0,1,2.0,2,1,1,3,9,6.9,2024-10-30
Moritz Wagner,ORL,CHI,L,16.12,1,4,0.25,1,2,0.5,4,4,1.0,0,6,6,1.0,0,0,2,1,7,4.7,2024-10-30
Kentavious Caldwell-Pope,ORL,CHI,L,33.95,3,9,0.333,2,7,0.286,0,0,0.0,1,0,1,1.0,1,0,0,3,8,4.1,2024-10-30
Alex Caruso,OKC,SAS,W,21.9,0,5,0.0,0,3,0.0,0,0,0.0,0,2,2,2.0,4,0,1,0,0,1.5,2024-10-30
Jett Howard,ORL,CHI,L,11.02,1,4,0.25,1,4,0.25,0,0,0.0,0,2,2,0.0,0,1,0,1,3,1.5,2024-10-30
Aaron Wiggins,OKC,SAS,W,17.87,2,8,0.25,0,3,0.0,0,0,0.0,0,3,3,3.0,0,0,1,0,4,1.2,2024-10-30
Alex Ducas,OKC,SAS,W,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0.0,2024-10-30
Adam Flagler,OKC,SAS,W,1.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,1,0,-0.4,2024-10-30
Gary Harris,ORL,CHI,L,18.37,0,3,0.0,0,2,0.0,0,0,0.0,1,1,2,1.0,0,0,0,0,0,-0.4,2024-10-30
Dillon Jones,OKC,SAS,W,2.77,0,1,0.0,0,0,0.0,0,0,0.0,0,1,1,0.0,0,0,0,0,0,-0.4,2024-10-30
Shai Gilgeous-Alexander,OKC,POR,W,28.38,12,18,0.667,1,6,0.167,5,6,0.833,1,6,7,6.0,1,0,3,1,30,26.1,2024-11-01
Jalen Suggs,ORL,CLE,L,36.55,10,20,0.5,1,7,0.143,7,8,0.875,1,7,8,7.0,3,1,3,2,28,25.2,2024-11-01
Jalen Williams,OKC,POR,W,26.27,8,12,0.667,4,6,0.667,2,2,1.0,1,4,5,4.0,4,0,3,2,22,21.7,2024-11-01
Tristan Da Silva,ORL,CLE,L,20.13,6,8,0.75,3,3,1.0,2,3,0.667,2,3,5,2.0,0,0,0,3,17,15.9,2024-11-01
Cason Wallace,OKC,POR,W,22.75,5,7,0.714,3,5,0.6,0,0,0.0,0,1,1,3.0,1,1,1,0,13,13.2,2024-11-01
Aaron Wiggins,OKC,POR,W,22.95,5,10,0.5,3,5,0.6,0,0,0.0,4,4,8,2.0,1,0,1,1,13,13.0,2024-11-01
Luguentz Dort,OKC,POR,W,25.47,3,9,0.333,1,4,0.25,1,1,1.0,1,4,5,2.0,4,2,0,1,8,11.2,2024-11-01
Moritz Wagner,ORL,CLE,L,27.57,5,9,0.556,0,2,0.0,4,7,0.571,0,5,5,0.0,2,0,2,0,14,10.0,2024-11-01
Franz Wagner,ORL,CLE,L,30.07,8,19,0.421,0,2,0.0,1,3,0.333,2,6,8,6.0,1,0,4,3,17,9.3,2024-11-01
Ousmane Dieng,OKC,POR,W,19.32,4,10,0.4,1,5,0.2,2,2,1.0,1,2,3,2.0,0,1,0,2,11,8.2,2024-11-01
Isaiah Joe,OKC,POR,W,26.58,4,9,0.444,3,8,0.375,1,2,0.5,0,5,5,2.0,2,0,2,4,12,8.2,2024-11-01
Chet Holmgren,OKC,POR,W,18.38,1,3,0.333,0,2,0.0,4,4,1.0,0,1,1,3.0,1,5,2,4,6,7.6,2024-11-01
Jett Howard,ORL,CLE,L,17.45,3,7,0.429,3,6,0.5,0,0,0.0,0,3,3,0.0,0,1,0,0,9,6.9,2024-11-01
Kentavious Caldwell-Pope,ORL,CLE,L,27.5,2,3,0.667,1,2,0.5,2,2,1.0,0,1,1,1.0,1,0,0,3,7,6.5,2024-11-01
Dillon Jones,OKC,POR,W,11.82,3,5,0.6,1,3,0.333,0,0,0.0,2,2,4,2.0,0,0,0,4,7,6.5,2024-11-01
Ajay Mitchell,OKC,POR,W,17.22,3,6,0.5,2,3,0.667,0,0,0.0,2,0,2,2.0,0,0,1,4,8,5.2,2024-11-01
Cory Joseph,ORL,CLE,L,4.13,1,1,1.0,1,1,1.0,0,0,0.0,0,1,1,2.0,0,1,0,0,3,5.1,2024-11-01
Jonathan Isaac,ORL,CLE,L,16.58,2,6,0.333,1,4,0.25,0,0,0.0,2,2,4,0.0,2,1,1,1,5,4.9,2024-11-01
Alex Caruso,OKC,POR,W,17.38,3,5,0.6,0,2,0.0,0,0,0.0,1,2,3,2.0,0,0,0,4,6,4.8,2024-11-01
Anthony Black,ORL,CLE,L,27.5,3,8,0.375,1,3,0.333,0,0,0.0,0,2,2,6.0,0,0,2,2,7,4.6,2024-11-01
Malevy Leons,OKC,POR,W,3.48,0,1,0.0,0,0,0.0,1,2,0.5,1,0,1,1.0,0,0,0,2,1,0.5,2024-11-01
Cole Anthony,ORL,CLE,L,8.07,1,4,0.25,0,0,0.0,0,1,0.0,0,1,1,2.0,0,0,1,1,2,-0.5,2024-11-01
Caleb Houstan,ORL,CLE,L,4.13,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0,1,0,-1.1,2024-11-01
Gary Harris,ORL,CLE,L,20.32,0,4,0.0,0,2,0.0,0,0,0.0,0,1,1,0.0,1,0,1,1,0,-2.9,2024-11-01
Shai Gilgeous-Alexander,OKC,LAC,W,31.33,7,14,0.5,2,4,0.5,9,9,1.0,0,3,3,9.0,0,1,3,2,25,22.1,2024-11-02
Luguentz Dort,OKC,LAC,W,29.73,6,12,0.5,1,4,0.25,3,4,0.75,1,3,4,3.0,0,0,0,4,16,11.7,2024-11-02
Aaron Wiggins,OKC,LAC,W,30.37,5,12,0.417,2,4,0.5,0,0,0.0,0,5,5,2.0,3,0,0,1,12,11.1,2024-11-02
Isaiah Joe,OKC,LAC,W,22.42,4,8,0.5,4,8,0.5,0,0,0.0,1,1,2,1.0,1,0,0,0,12,10.7,2024-11-02
Chet Holmgren,OKC,LAC,W,29.35,3,9,0.333,1,4,0.25,3,4,0.75,1,13,14,4.0,1,1,3,0,10,10.6,2024-11-02
Cason Wallace,OKC,LAC,W,24.63,3,4,0.75,1,2,0.5,0,0,0.0,0,4,4,1.0,0,1,0,2,7,7.2,2024-11-02
Jalen Williams,OKC,LAC,W,34.03,5,16,0.313,3,5,0.6,2,2,1.0,0,7,7,4.0,2,0,4,4,15,7.1,2024-11-02
Ousmane Dieng,OKC,LAC,W,8.1,1,1,1.0,1,1,1.0,0,0,0.0,0,0,0,0.0,2,0,0,0,3,4.7,2024-11-02
Alex Caruso,OKC,LAC,W,15.67,2,6,0.333,1,5,0.2,0,0,0.0,0,2,2,0.0,2,0,0,4,5,2.6,2024-11-02
Dillon Jones,OKC,LAC,W,3.4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,1.0,0,0,0,0,0,0.0,2024-11-02
Malevy Leons,OKC,LAC,W,3.4,0,1,0.0,0,1,0.0,0,0,0.0,0,0,0,0.0,0,0,0,1,0,-1.1,2024-11-02
Ajay Mitchell,OKC,LAC,W,7.57,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,2,4,0,-3.6,2024-11-02
Franz Wagner,ORL,DAL,L,25.18,6,15,0.4,1,2,0.5,0,0,0.0,1,5,6,6.0,2,0,2,3,13,10.1,2024-11-03
Cole Anthony,ORL,DAL,L,14.37,3,6,0.5,1,2,0.5,2,4,0.5,0,3,3,3.0,1,0,1,2,9,7.4,2024-11-03
Wendell Carter,ORL,DAL,L,8.87,2,5,0.4,0,2,0.0,2,2,1.0,1,0,1,2.0,2,0,0,1,6,7.0,2024-11-03
Tristan Da Silva,ORL,DAL,L,31.12,2,7,0.286,1,4,0.25,2,2,1.0,1,4,5,2.0,0,1,0,0,7,6.9,2024-11-03
Jalen Suggs,ORL,DAL,L,28.65,4,13,0.308,1,5,0.2,1,2,0.5,1,3,4,2.0,1,2,0,2,10,6.7,2024-11-03
Kentavious Caldwell-Pope,ORL,DAL,L,26.0,2,6,0.333,2,6,0.333,1,1,1.0,1,2,3,1.0,0,0,0,3,7,4.4,2024-11-03
Jett Howard,ORL,DAL,L,22.13,4,12,0.333,2,8,0.25,2,2,1.0,0,1,1,0.0,1,0,2,1,12,4.1,2024-11-03
Moritz Wagner,ORL,DAL,L,20.5,3,10,0.3,0,4,0.0,4,4,1.0,0,6,6,0.0,0,0,1,4,10,3.4,2024-11-03
Jonathan Isaac,ORL,DAL,L,15.93,1,6,0.167,0,4,0.0,1,2,0.5,2,3,5,1.0,1,1,0,3,3,2.3,2024-11-03
Caleb Houstan,ORL,DAL,L,6.98,1,3,0.333,0,0,0.0,0,0,0.0,1,1,2,0.0,0,0,0,1,2,0.9,2024-11-03
Gary Harris,ORL,DAL,L,14.32,2,6,0.333,0,3,0.0,0,0,0.0,1,0,1,0.0,0,0,1,0,4,0.3,2024-11-03
Cory Joseph,ORL,DAL,L,5.23,0,2,0.0,0,1,0.0,0,0,0.0,2,0,2,0.0,0,0,1,0,0,-1.0,2024-11-03
Anthony Black,ORL,DAL,L,20.72,1,2,0.5,0,0,0.0,0,0,0.0,2,2,4,2.0,0,0,6,2,2,-2.4,2024-11-03
Jalen Williams,OKC,ORL,W,34.53,10,17,0.588,3,7,0.429,0,0,0.0,0,4,4,1.0,3,1,1,3,23,18.5,2024-11-04
Shai Gilgeous-Alexander,OKC,ORL,W,35.07,8,16,0.5,1,3,0.333,4,4,1.0,0,6,6,9.0,1,0,4,4,21,16.5,2024-11-04
Jalen Suggs,ORL,OKC,L,34.98,6,13,0.462,1,4,0.25,6,6,1.0,0,6,6,6.0,0,1,2,4,19,15.4,2024-11-04
Goga Bitadze,ORL,OKC,L,26.73,5,8,0.625,0,1,0.0,1,2,0.5,3,6,9,4.0,1,1,1,2,11,13.6,2024-11-04
Franz Wagner,ORL,OKC,L,34.15,8,17,0.471,1,4,0.25,5,6,0.833,2,2,4,2.0,2,0,5,2,22,12.5,2024-11-04
Aaron Wiggins,OKC,ORL,W,17.42,4,9,0.444,1,3,0.333,2,2,1.0,2,3,5,1.0,3,0,0,1,11,11.9,2024-11-04
Chet Holmgren,OKC,ORL,W,21.5,5,10,0.5,1,2,0.5,3,5,0.6,2,7,9,1.0,0,2,2,1,14,11.4,2024-11-04
Isaiah Joe,OKC,ORL,W,22.45,4,8,0.5,3,6,0.5,2,3,0.667,0,4,4,1.0,0,0,0,0,13,10.5,2024-11-04
Kentavious Caldwell-Pope,ORL,OKC,L,30.82,1,7,0.143,1,4,0.25,3,3,1.0,0,5,5,2.0,4,1,1,1,6,7.7,2024-11-04
Moritz Wagner,ORL,OKC,L,21.27,2,5,0.4,0,2,0.0,5,6,0.833,0,7,7,1.0,2,1,4,2,9,6.6,2024-11-04
Luguentz Dort,OKC,ORL,W,27.9,2,6,0.333,2,4,0.5,0,0,0.0,1,2,3,1.0,2,0,2,3,6,3.4,2024-11-04
Tristan Da Silva,ORL,OKC,L,33.78,4,12,0.333,1,4,0.25,0,0,0.0,0,3,3,2.0,0,0,1,2,9,2.7,2024-11-04
Ousmane Dieng,OKC,ORL,W,8.4,0,3,0.0,0,1,0.0,0,0,0.0,0,4,4,2.0,2,0,0,0,0,2.5,2024-11-04
Alex Caruso,OKC,ORL,W,20.82,1,3,0.333,1,2,0.5,0,0,0.0,0,0,0,5.0,1,0,2,4,3,2.2,2024-11-04
Ajay Mitchell,OKC,ORL,W,12.42,2,4,0.5,0,1,0.0,0,0,0.0,0,1,1,1.0,0,0,1,0,4,2.0,2024-11-04
Jonathan Isaac,ORL,OKC,L,10.98,1,3,0.333,0,2,0.0,2,2,1.0,1,0,1,0.0,0,0,1,1,4,1.6,2024-11-04
Cory Joseph,ORL,OKC,L,3.22,1,2,0.5,1,2,0.5,0,0,0.0,0,0,0,0.0,0,0,0,1,3,1.6,2024-11-04
Cason Wallace,OKC,ORL,W,26.98,2,6,0.333,0,1,0.0,0,0,0.0,0,4,4,1.0,0,1,1,3,4,1.0,2024-11-04
Cole Anthony,ORL,OKC,L,3.17,0,2,0.0,0,1,0.0,0,0,0.0,0,2,2,1.0,1,0,0,0,0,0.9,2024-11-04
Dillon Jones,OKC,ORL,W,9.78,1,3,0.333,0,1,0.0,1,2,0.5,0,1,1,0.0,0,0,1,2,3,-0.6,2024-11-04
Jett Howard,ORL,OKC,L,11.18,0,2,0.0,0,2,0.0,0,0,0.0,0,0,0,0.0,0,1,0,0,0,-0.7,2024-11-04
Malevy Leons,OKC,ORL,W,2.7,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0.0,0,0,1,0,0,-0.7,2024-11-04
Anthony Black,ORL,OKC,L,20.62,1,8,0.125,0,5,0.0,1,2,0.5,1,2,3,2.0,2,0,3,0,3,-0.9,2024-11-04
Caleb Houstan,ORL,OKC,L,9.08,0,3,0.0,0,3,0.0,0,0,0.0,0,1,1,0.0,0,0,0,1,0,-2.2,2024-11-04
Jalen Williams,OKC,DEN,L,36.05,11,20,0.55,4,8,0.5,3,5,0.6,2,8,10,9.0,3,0,1,4,29,29.1,2024-11-06
Franz Wagner,ORL,IND,L,39.37,10,23,0.435,2,7,0.286,6,8,0.75,1,7,8,6.0,0,0,3,4,28,17.5,2024-11-06
Shai Gilgeous-Alexander,OKC,DEN,L,38.82,10,19,0.526,0,3,0.0,8,10,0.8,0,2,2,6.0,1,1,8,1,28,16.0,2024-11-06
